Palavra,Frequencia
atualizem,1
atualmente,4
atuam,3
atuamos,2
atuando,3
atuante,1
atuantes,2
atuar,2
atuei,1
atuou,2
audiencia,10
audiencias,1
audio,10
audiodescricao,1
audiovisual,1
auditado,1
auditoria,3
auditorio,5
auge,1
augusto,18
aula,15
aulas,6
aumenta,19
aumentado,3
aumentalo,1
aumentam,3
aumentando,5
aumentar,33
aumentarmos,1
aumento,15
aumentou,6
aureola,1
ausencia,7
ausente,1
autentica,1
autismo,18
autista,17
autistas,15
autocuidado,1
autodeclara,1
autodenomina,1
autoestima,3
autoexame,1
automaticamente,1
autonomia,13
autonomo,1
autora,2
autoria,3
autoridade,1
autoridades,4
autoritarismo,1
autoriza,1
autorizacao,2
autorizadas,1
autorizamos,1
autorizei,1
autorizou,2
autran,2
auxilia,1
auxiliam,3
auxiliar,2
auxiliares,2
auxilio,4
av,103
aval,1
avaliacao,1
avaliado,1
avaliados,3
avaliamos,1
avaliar,4
avalie,2
avaliem,4
avalio,1
avaliou,1
avaliza,1
avanca,44
avancada,2
avancadas,1
avancado,1
avancados,1
avancam,1
avancamos,6
avancando,340
avancar,444
avancarem,2
avance,16
avancem,1
avanco,73
avancos,30
avancou,8
avante,219
avatar,1
avatares,1
avc,1
avenida,65
avenidas,10
aventura,1
avera,1
averiguar,3
aves,1
avg,1
aviador,3
aviao,4
aviaozinho,2
avioes,1
avisa,17
avisado,1
avisando,1
avisar,9
avise,2
aviso,6
avisou,3
avo,13
avos,1
avtancredo,1
axe,4
ayla,1
ayrton,9
aysha,1
azar,2
azevedo,1
azuis,1
azul,229
azulzinho,8
azuuuul,1
b,11
ba,3
bacana,9
bacanga,5
bacellar,2
bacia,5
badmington,2
badminton,2
bafafa,1
bagagem,1
bags,1
bahia,32
baia,2
baiana,7
baianas,1
baiano,5
baianos,2
bairro,389
bairros,178
baita,1
baixa,12
baixado,1
baixar,10
baixaram,1
baixarei,1
baixaremos,1
baixarias,1
baixas,1
baixe,3
baixinha,1
baixinhas,1
baixinhos,2
baixo,12
baixos,2
baixou,1
bala,3
balancar,1
balance,1
balanceadas,1
balanco,6
balao,1
balcao,2
balcoes,1
baldinho,1
baldo,1
bale,3
balzi,2
banalizada,1
banca,1
bancada,4
bancadas,1
bancado,1
bancarios,13
bancas,2
banco,13
band,5
bandas,4
bandeira,18
bandeiraco,9
bandeirante,3
bandeiras,11
bandidagem,3
bandido,1
bandidos,1
banese,2
banheiro,3
banheiros,10
banho,3
banhozinho,1
bar,1
barao,5
barata,2
baratas,2
baratino,4
barato,1
barba,1
barbara,13
barbosa,8
barcos,1
bardi,2
bares,2
barqueiros,1
barra,12
barracos,2
barradas,1
barraquinha,2
barreira,5
barreiras,3
barreto,3
barriga,1
barril,1
barro,4
barroquinha,1
barros,3
barroso,5
bartolomeu,1
barulhinho,1
barulho,2
base,25
baseada,7
baseadas,2
baseado,1
baseia,1
baseie,1
bases,2
basica,31
basicas,10
basico,30
basicos,12
basta,353
bastante,7
bastasse,2
bastidor,1
bastidores,4
bastos,3
bastou,1
batalha,16
batalhado,1
batalhador,1
batalhadoras,1
batalham,1
batalhamos,1
batalhas,7
batalhei,1
batata,1
batatinha,2
bate,15
batebola,1
batemos,3
batendo,9
batepapo,4
bater,14
bateram,1
bateria,4
bateu,7
bati,1
batida,1
batista,1
batistao,1
bau,1
bbb,1
beba,1
bebam,1
bebe,6
bebendo,1
beber,1
beberibe,5
bebes,4
bebeto,2
beco,2
beeeem,1
bege,78
beijao,1
beijo,3
beira,5
beirinha,1
bel,3
bela,16
belas,1
beleza,5
belezas,6
belisario,1
belissima,3
belissimo,2
bell,2
belo,11
belos,2
bem,242
bemestar,30
bemfeita,2
bemfeito,3
bemvindas,1
bemvindo,3
bemvindos,1
bencao,4
bencaos,27
benedita,1
benedito,3
beneficia,1
beneficiada,3
beneficiadas,6
beneficiados,4
beneficiam,5
beneficiamos,2
beneficiando,3
beneficiar,11
beneficiaram,2
beneficiarios,1
beneficie,1
beneficiem,1
beneficio,4
beneficios,5
beneficiou,2
benfeitora,1
benfica,1
benicio,1
benigno,2
benivaldo,1
benjamin,2
bens,1
bentes,3
bento,1
bercario,1
bercarios,1
berco,2
bernardo,8
besouro,1
bessa,4
besta,2
besteiras,1
bestinha,1
betti,2
bezerra,17
bf,2
bia,1
bianca,1
biblia,2
biblioteca,3
bica,3
bicampeao,1
bichinhos,4
bicicleta,11
bicicletaco,3
bicicletada,2
bicicletas,3
bico,1
bid,3
big,9
bike,3
bikes,1
bilhao,2
bilhete,2
bilhetes,1
bilhoes,3
bilingue,4
bilionario,1
bill,1
bio,36
biocombustiveis,2
biodiversidade,2
biografia,4
biologia,1
bioooo,1
birigui,3
bisavo,2
biscaro,1
bispo,2
bittencourt,2
biu,16
bizu,1
bla,6
blablabla,1
blazer,26
blocao,1
bloco,4
blog,1
bloqueados,1
bloqueiem,1
bloqueio,1
bloquinho,1
blu,7
blua,1
bluesky,4
blunelle,1
blusa,213
bndidos,2
bo,1
boa,93
boas,43
boatos,4
boca,27
bocado,2
bocha,1
bocudo,1
boi,6
bola,5
bolao,1
bolha,3
bolinhas,1
bolinho,1
bolo,6
bolsa,21
bolsas,6
bolsista,1
bolso,12
bolsonarismo,20
bolsonarista,5
bolsonaristas,1
bolsonaro,99
bolsonarocomo,1
bolsonazi,1
bom,174
bomba,1
bombeiros,3
bondade,2
bonde,13
bone,29
bones,1
bonfim,10
bonfimesperamos,1
bonifacio,2
bonificacao,1
bonificar,1
bonita,27
bonito,36
bonitos,1
bonoco,2
bons,5
bonsucesso,8
bonus,3
booooora,1
boooora,4
booooraaaa,1
booora,1
boquinha,1
bor,1
bora,252
boraaaa,1
boraaaaaa,1
boracombrunocombr,1
boraquebora,1
boraqueboraquebora,2
bordoes,1
borges,1
borrar,1
bosques,1
bossato,1
bota,17
botafogo,4
botando,2
botao,2
botar,24
bote,7
botou,4
boulos,4
boxe,1
boxes,3
bpc,1
bpv,68
br,6
braba,1
braco,3
bracos,20
bradesco,1
braga,5
branca,202
branco,52
brancos,3
brandao,3
brasil,1071
brasilar,1
brasileira,16
brasileiras,5
brasileiro,11
brasileiros,18
brasilia,22
braskem,5
bravamente,1
braz,1
break,1
brechinha,1
brega,5
bregafunk,2
brejo,4
brendynha,1
breninho,3
brennand,1
breno,2
breve,24
briga,1
brigadas,1
brigarem,1
brigas,2
brilha,3
brilhando,1
brilhante,9
brilhantes,1
brilhar,10
brilho,10
brilhou,3
brinca,4
brincadeira,10
brincadeiras,7
brincando,2
brincar,3
brincou,1
brinquedos,3
brisamar,3
brisanet,1
brita,2
britado,2
brmata,1
bro,6
brocar,1
broches,1
bronca,1
brota,1
brotas,3
brother,1
brs,2
brt,5
brunet,1
brutal,2
bruto,1
bucal,2
buchada,2
bucho,6
buenos,7
buffet,1
bugio,21
bugiooooo,1
buraco,8
buracos,5
buraqueira,1
burity,1
burla,1
burlar,1
burocracia,5
busao,10
busca,23
buscado,1
buscam,2
buscamos,2
buscando,12
buscar,23
buscarei,2
buscava,1
buscou,1
business,1
busque,1
busto,3
buzina,3
buzinaco,2
buzinar,1
buzine,1
buzu,5
byron,1
c,3
ca,13
cabe,12
cabeca,443
cabecas,15
cabedelo,1
cabelinho,1
cabelo,6
cabelos,2
cabem,3
cabera,2
cabimento,1
cabine,3
cabiveis,1
cabo,14
caboquim,1
caboquinho,2
cabra,1
cabral,3
cabugi,1
caca,1
caches,2
cachoeira,1
cachorrinha,3
cachorrinho,2
cachorrinhos,2
cachorros,1
cacote,4
cacula,4
cada,846
cadastradas,1
cadastrado,1
cadastrados,1
cadastro,5
cade,11
cadeia,4
cadeira,5
cadeirada,6
cadeirante,10
cadeirantes,3
cadeiras,2
cadelinha,1
caderno,1
cadernos,1
cadunico,5
caema,1
caetano,7
caetes,1
cafe,33
cafeteira,2
cafezinho,8
caged,1
cai,7
caia,10
caiara,2
caicos,1
caindo,1
caio,3
cair,9
cairem,1
cairu,2
cais,2
caiu,5
caixa,12
caixapreta,1
caixas,2
caixinha,1
caja,1
cajacity,4
cajaiba,1
cajazeiras,4
caju,2
cajueiro,1
cajueiros,1
cajuhub,1
cajuina,3
cal,1
calabar,1
calado,2
calados,1
calam,2
calar,7
calaram,1
calca,313
calcada,7
calcadao,9
calcadas,16
calcado,1
calcamento,4
calcamos,2
calcando,2
calcar,4
calcas,1
calculo,1
calculos,1
calcuta,3
caldo,3
cale,1
calendario,6
calhau,1
calisto,1
calma,3
calor,16
calorao,1
calorosa,26
calorosamente,1
calorosavila,1
caloroso,5
calorosos,1
calote,1
calou,1
caluniar,1
caluniosas,1
cama,3
camada,1
camadas,2
camara,42
camarao,8
camarote,1
camelo,1
camelodromo,1
camera,12
cameras,8
camerino,4
camila,3
camilinha,2
camilo,114
camimho,1
caminha,13
caminhada,637
caminhadaaa,1
caminhadas,22
caminham,5
caminhamos,19
caminhando,45
caminhao,1
caminhar,56
caminharam,5
caminharei,1
caminharem,1
caminharemos,1
caminharmos,4
caminhe,1
caminhei,9
caminhem,2
caminho,313
caminhoes,1
caminhos,17
caminhou,4
camisa,130
camisas,2
campanha,470
campanhaa,1
campanhas,6
campea,4
campeao,5
campelo,1
campeoes,2
campeonato,1
campeonatos,1
campo,20
camposenfim,1
cana,3
canaa,1
canada,2
canais,8
canal,42
cancao,1
canceladas,1
cancelado,2
cancelamento,1
cancelamos,1
cancelar,1
cancer,9
canceres,2
candelaria,1
candida,1
candidata,365
candidatamos,1
candidatas,5
candidato,582
candidatoa,3
candidatos,101
candidatosas,1
candidatura,74
candidaturas,17
candido,1
candisse,1
canditado,1
canecas,1
caneta,1
canetas,2
canoa,3
cansa,1
cansaco,2
cansada,3
cansado,6
cansados,2
cansamos,1
cansativo,1
cansou,5
cantamos,1
cantando,11
cantar,7
cantarmos,2
cante,2
canteiro,3
canteiros,1
cantiga,1
cantinho,3
canto,53
cantor,3
cantora,1
cantores,1
cantos,36
cantou,1
caomiada,2
caos,10
caotica,2
caotico,3
capa,4
capacidade,24
capacidades,2
capacitacao,21
capacitada,3
capacitado,1
capacitados,2
capacitando,1
capacitar,7
capacitistas,1
capaz,14
capazes,5
capela,1
capibaribe,8
capim,2
capirraias,1
capita,4
capitais,15
capital,353
capitao,8
capitulo,10
capivaras,2
capoeira,1
capoeirista,1
caprichar,1
caprichoso,1
caps,15
captacao,8
captados,1
captar,1
captura,1
car,1
